time 1;marker 1;diam 1;xgaze 1;ygaze 1;time 2;marker 2;diam 2;xgaze 2;ygaze 2;time 3;marker 3;diam 3;xgaze 3;ygaze 3;time 4;marker 4;diam 4;xgaze 4;ygaze 4;time 5;marker 5;diam 5;xgaze 5;ygaze 5;time 6;marker 6;diam 6;xgaze 6;ygaze 6;time 7;marker 7;diam 7;xgaze 7;ygaze 7;time 8;marker 8;diam 8;xgaze 8;ygaze 8;time 9;marker 9;diam 9;xgaze 9;ygaze 9;time 10;marker 10;diam 10;xgaze 10;ygaze 10;time 11;marker 11;diam 11;xgaze 11;ygaze 11;time 12;marker 12;diam 12;xgaze 12;ygaze 12;time 13;marker 13;diam 13;xgaze 13;ygaze 13;time 14;marker 14;diam 14;xgaze 14;ygaze 14;time 15;marker 15;diam 15;xgaze 15;ygaze 15;time 16;marker 16;diam 16;xgaze 16;ygaze 16;time 17;marker 17;diam 17;xgaze 17;ygaze 17;time 18;marker 18;diam 18;xgaze 18;ygaze 18;time 19;marker 19;diam 19;xgaze 19;ygaze 19;time 20;marker 20;diam 20;xgaze 20;ygaze 20;time 21;marker 21;diam 21;xgaze 21;ygaze 21;time 22;marker 22;diam 22;xgaze 22;ygaze 22;time 23;marker 23;diam 23;xgaze 23;ygaze 23;time 24;marker 24;diam 24;xgaze 24;ygaze 24;time 25;marker 25;diam 25;xgaze 25;ygaze 25;time 26;marker 26;diam 26;xgaze 26;ygaze 26;time 27;marker 27;diam 27;xgaze 27;ygaze 27;time 28;marker 28;diam 28;xgaze 28;ygaze 28;;;;;;;;;;
0.000;1;4.97;0;0;0.000;1;4.99;0;0;0.000;1;5.39;0;0;0.000;1;5.26;0;0;0.000;1;5.23;0;0;0.000;1;5.27;0;0;0.000;1;5.19;0;0;0.000;1;5.04;0;0;0.000;1;0.00;0;0;0.000;1;0.00;0;0;0.000;1;5.30;0;0;0.000;1;5.19;0;0;0.000;1;5.35;0;0;0.000;1;5.49;0;0;0.000;1;5.39;0;0;0.000;1;5.38;0;0;0.000;1;5.31;0;0;0.000;1;5.48;0;0;0.000;1;5.38;0;0;0.000;1;5.42;0;0;0.000;1;0.00;0;0;0.000;1;5.45;0;0;0.000;1;5.55;0;0;0.000;1;0.00;0;0;0.000;1;5.23;0;0;0.000;1;5.44;0;0;0.000;1;5.49;0;0;0.000;1;5.55;0;0;;;;;;;;;;
16.586;;4.97;0;0;0.000;;4.99;0;0;0.000;;5.39;0;0;0.000;;5.26;0;0;0.000;;5.23;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;0.000;;5.30;0;0;0.000;;5.19;0;0;0.000;;5.35;0;0;0.000;;5.49;0;0;0.000;;5.39;0;0;0.000;;5.38;0;0;0.000;;5.31;0;0;16.580;;5.49;0;0;0.000;;5.38;0;0;0.000;;5.42;0;0;0.000;;0.00;0;0;0.000;;5.45;0;0;0.000;;5.55;0;0;0.000;;0.00;0;0;0.000;;5.23;0;0;0.000;;5.44;0;0;0.000;;5.49;0;0;0.000;;5.55;0;0;;;;;;;;;;
33.210;;4.97;0;0;0.000;;4.99;0;0;16.838;;5.38;0;0;0.000;;5.26;0;0;0.000;;5.23;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;0.000;;5.30;0;0;0.000;;5.19;0;0;0.000;;5.35;0;0;0.000;;5.49;0;0;0.000;;5.39;0;0;0.000;;5.38;0;0;0.000;;5.31;0;0;16.580;;5.49;0;0;0.000;;5.38;0;0;0.000;;5.42;0;0;0.000;;0.00;0;0;0.000;;5.45;0;0;0.000;;5.55;0;0;16.752;;0.00;0;0;0.000;;5.23;0;0;0.000;;5.44;0;0;0.000;;5.49;0;0;0.000;;5.55;0;0;;;;;;;;;;
49.962;;4.98;0;0;16.757;;4.99;0;0;16.838;;5.38;0;0;0.000;;5.26;0;0;0.000;;5.23;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;0.000;;5.30;0;0;16.751;;5.19;0;0;0.000;;5.35;0;0;0.000;;5.49;0;0;0.000;;5.39;0;0;0.000;;5.38;0;0;16.625;;5.31;0;0;16.580;;5.49;0;0;16.516;;5.37;0;0;0.000;;5.42;0;0;0.000;;0.00;0;0;0.000;;5.45;0;0;0.000;;5.55;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;0.000;;5.44;0;0;0.000;;5.49;0;0;0.000;;5.55;0;0;;;;;;;;;;
66.632;;4.99;0;0;16.757;;4.99;0;0;16.838;;5.38;0;0;0.000;;5.26;0;0;16.697;;5.22;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;0.000;;5.30;0;0;16.751;;5.19;0;0;16.586;;5.36;0;0;0.000;;5.49;0;0;0.000;;5.39;0;0;0.000;;5.38;0;0;16.625;;5.31;0;0;16.580;;5.49;0;0;16.516;;5.37;0;0;16.624;;5.43;0;0;0.000;;0.00;0;0;0.000;;5.45;0;0;0.000;;5.55;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;16.613;;5.47;0;0;0.000;;5.49;0;0;0.000;;5.55;0;0;;;;;;;;;;
83.209;;5.00;0;0;16.757;;4.99;0;0;16.838;;5.38;0;0;0.000;;5.26;0;0;16.697;;5.22;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;16.625;;5.30;0;0;16.751;;5.19;0;0;16.586;;5.36;0;0;0.000;;5.49;0;0;0.000;;5.39;0;0;0.000;;5.38;0;0;16.625;;5.31;0;0;16.580;;5.49;0;0;33.137;;5.37;0;0;16.624;;5.43;0;0;16.620;;0.00;0;0;16.539;;5.44;0;0;0.000;;5.55;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;16.613;;5.47;0;0;16.778;;5.48;0;0;0.000;;5.55;0;0;;;;;;;;;;
99.962;;4.98;0;0;16.757;;4.99;0;0;16.838;;5.38;0;0;16.796;;5.26;0;0;16.697;;5.22;0;0;16.625;;5.27;0;0;0.000;;5.19;0;0;0.000;;5.04;0;0;0.000;;0.00;0;0;0.000;;0.00;0;0;16.625;;5.30;0;0;16.751;;5.19;0;0;16.586;;5.36;0;0;16.629;;5.49;0;0;33.278;;5.36;0;0;16.661;;5.35;0;0;33.275;;5.34;0;0;16.580;;5.49;0;0;49.891;;5.37;0;0;33.325;;5.43;0;0;16.620;;0.00;0;0;16.539;;5.44;0;0;16.656;;5.55;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;16.613;;5.47;0;0;33.422;;5.49;0;0;16.656;;5.56;0;0;;;;;;;;;;
116.610;;5.01;0;0;33.413;;4.98;0;0;16.838;;5.38;0;0;16.796;;5.26;0;0;16.697;;5.22;0;0;16.625;;5.27;0;0;16.655;;5.18;0;0;16.623;;5.03;0;0;16.718;;0.00;0;0;16.587;;0.00;0;0;16.625;;5.30;0;0;16.751;;5.19;0;0;16.586;;5.36;0;0;33.414;;5.51;0;0;33.278;;5.36;0;0;33.243;;5.36;0;0;50.040;;5.36;0;0;33.215;;5.49;0;0;66.606;;5.35;0;0;49.886;;5.41;0;0;33.246;;5.08;0;0;16.539;;5.44;0;0;33.277;;5.53;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;33.230;;5.49;0;0;50.004;;5.48;0;0;16.656;;5.56;0;0;;;;;;;;;;
133.246;;5.02;0;0;49.992;;4.99;0;0;33.379;;5.36;0;0;33.372;;5.25;0;0;16.697;;5.22;0;0;16.625;;5.27;0;0;33.279;;5.18;0;0;16.623;;5.03;0;0;33.330;;0.00;0;0;33.212;;0.00;0;0;33.352;;5.30;0;0;16.751;;5.19;0;0;16.586;;5.36;0;0;50.002;;5.51;0;0;50.001;;5.39;0;0;49.991;;5.37;0;0;66.624;;5.35;0;0;49.962;;5.49;0;0;83.139;;5.35;0;0;66.626;;5.38;0;0;50.076;;0.00;0;0;33.282;;5.42;0;0;49.901;;5.53;0;0;16.752;;0.00;0;0;33.334;;5.23;0;0;50.034;;5.50;0;0;66.623;;5.47;0;0;33.281;;5.56;0;0;;;;;;;;;;
149.958;;5.02;0;0;66.742;;4.99;0;0;50.002;;5.35;0;0;49.998;;5.25;0;0;16.697;;5.22;0;0;33.251;;5.27;0;0;49.905;;5.19;0;0;16.623;;5.03;0;0;49.965;;4.96;0;0;50.063;;0.00;0;0;50.003;;5.28;0;0;16.751;;5.19;0;0;33.331;;5.38;0;0;66.752;;5.49;0;0;66.626;;5.38;0;0;66.627;;5.38;0;0;83.248;;5.35;0;0;66.627;;5.49;0;0;99.887;;5.33;0;0;83.249;;5.39;0;0;66.621;;0.00;0;0;49.910;;5.41;0;0;66.699;;5.52;0;0;33.424;;0.00;0;0;33.334;;5.23;0;0;66.605;;5.51;0;0;83.457;;5.48;0;0;49.904;;5.54;0;0;;;;;;;;;;
