time 1;marker 1;diam 1;xgaze 1;ygaze 1;time 2;marker 2;diam 2;xgaze 2;ygaze 2;time 3;marker 3;diam 3;xgaze 3;ygaze 3;time 4;marker 4;diam 4;xgaze 4;ygaze 4;time 5;marker 5;diam 5;xgaze 5;ygaze 5;time 6;marker 6;diam 6;xgaze 6;ygaze 6;time 7;marker 7;diam 7;xgaze 7;ygaze 7;time 8;marker 8;diam 8;xgaze 8;ygaze 8;time 9;marker 9;diam 9;xgaze 9;ygaze 9;time 10;marker 10;diam 10;xgaze 10;ygaze 10;time 11;marker 11;diam 11;xgaze 11;ygaze 11;time 12;marker 12;diam 12;xgaze 12;ygaze 12;time 13;marker 13;diam 13;xgaze 13;ygaze 13;time 14;marker 14;diam 14;xgaze 14;ygaze 14;time 15;marker 15;diam 15;xgaze 15;ygaze 15;time 16;marker 16;diam 16;xgaze 16;ygaze 16;time 17;marker 17;diam 17;xgaze 17;ygaze 17;time 18;marker 18;diam 18;xgaze 18;ygaze 18;time 19;marker 19;diam 19;xgaze 19;ygaze 19;time 20;marker 20;diam 20;xgaze 20;ygaze 20;time 21;marker 21;diam 21;xgaze 21;ygaze 21;time 22;marker 22;diam 22;xgaze 22;ygaze 22;time 23;marker 23;diam 23;xgaze 23;ygaze 23;time 24;marker 24;diam 24;xgaze 24;ygaze 24;time 25;marker 25;diam 25;xgaze 25;ygaze 25;time 26;marker 26;diam 26;xgaze 26;ygaze 26;time 27;marker 27;diam 27;xgaze 27;ygaze 27;;;;;;;;;;;;;;;
0.000;1;6.18;0;0;0.000;1;6.22;0;0;0.000;1;6.40;0;0;0.000;1;6.49;0;0;0.000;1;6.53;0;0;0.000;1;6.44;0;0;0.000;1;6.55;0;0;0.000;1;6.45;0;0;0.000;1;0.00;0;0;0.000;1;6.41;0;0;0.000;1;5.99;0;0;0.000;1;6.34;0;0;0.000;1;6.09;0;0;0.000;1;6.44;0;0;0.000;1;6.38;0;0;0.000;1;6.50;0;0;0.000;1;6.34;0;0;0.000;1;0.00;0;0;0.000;1;6.43;0;0;0.000;1;6.30;0;0;0.000;1;6.01;0;0;0.000;1;6.48;0;0;0.000;1;6.59;0;0;0.000;1;6.13;0;0;0.000;1;6.20;0;0;0.000;1;6.26;0;0;0.000;1;6.20;0;0;;;;;;;;;;;;;;;
16.679;;6.17;0;0;0.000;;6.22;0;0;0.000;;6.40;0;0;0.000;;6.49;0;0;0.000;;6.53;0;0;0.000;;6.44;0;0;0.000;;6.55;0;0;0.000;;6.45;0;0;0.000;;0.00;0;0;0.000;;6.41;0;0;0.000;;5.99;0;0;0.000;;6.34;0;0;0.000;;6.09;0;0;0.000;;6.44;0;0;0.000;;6.38;0;0;0.000;;6.50;0;0;0.000;;6.34;0;0;0.000;;0.00;0;0;0.000;;6.43;0;0;16.613;;6.28;0;0;16.548;;6.06;0;0;0.000;;6.48;0;0;0.000;;6.59;0;0;0.000;;6.13;0;0;0.000;;6.20;0;0;0.000;;6.26;0;0;16.581;;6.19;0;0;;;;;;;;;;;;;;;
33.375;;6.18;0;0;0.000;;6.22;0;0;16.745;;6.39;0;0;0.000;;6.49;0;0;0.000;;6.53;0;0;0.000;;6.44;0;0;0.000;;6.55;0;0;0.000;;6.45;0;0;0.000;;0.00;0;0;0.000;;6.41;0;0;0.000;;5.99;0;0;0.000;;6.34;0;0;0.000;;6.09;0;0;16.750;;6.43;0;0;16.576;;6.38;0;0;0.000;;6.50;0;0;0.000;;6.34;0;0;0.000;;0.00;0;0;0.000;;6.43;0;0;16.613;;6.28;0;0;16.548;;6.06;0;0;0.000;;6.48;0;0;0.000;;6.59;0;0;0.000;;6.13;0;0;0.000;;6.20;0;0;0.000;;6.26;0;0;16.581;;6.19;0;0;;;;;;;;;;;;;;;
50.000;;6.18;0;0;0.000;;6.22;0;0;16.745;;6.39;0;0;0.000;;6.49;0;0;0.000;;6.53;0;0;16.749;;6.44;0;0;0.000;;6.55;0;0;0.000;;6.45;0;0;0.000;;0.00;0;0;16.583;;6.40;0;0;16.750;;6.01;0;0;0.000;;6.34;0;0;16.625;;6.09;0;0;16.750;;6.43;0;0;16.576;;6.38;0;0;0.000;;6.50;0;0;16.665;;6.33;0;0;0.000;;0.00;0;0;0.000;;6.43;0;0;16.613;;6.28;0;0;16.548;;6.06;0;0;0.000;;6.48;0;0;0.000;;6.59;0;0;16.747;;6.16;0;0;0.000;;6.20;0;0;0.000;;6.26;0;0;16.581;;6.19;0;0;;;;;;;;;;;;;;;
66.633;;6.20;0;0;16.751;;6.21;0;0;33.372;;6.38;0;0;0.000;;6.49;0;0;16.804;;6.51;0;0;16.749;;6.44;0;0;0.000;;6.55;0;0;0.000;;6.45;0;0;0.000;;0.00;0;0;16.583;;6.40;0;0;16.750;;6.01;0;0;0.000;;6.34;0;0;16.625;;6.09;0;0;16.750;;6.43;0;0;16.576;;6.38;0;0;0.000;;6.50;0;0;16.665;;6.33;0;0;0.000;;0.00;0;0;0.000;;6.43;0;0;16.613;;6.28;0;0;16.548;;6.06;0;0;0.000;;6.48;0;0;16.625;;6.59;0;0;16.747;;6.16;0;0;0.000;;6.20;0;0;16.548;;6.27;0;0;16.581;;6.19;0;0;;;;;;;;;;;;;;;
83.423;;6.20;0;0;33.429;;6.20;0;0;50.035;;6.37;0;0;0.000;;6.49;0;0;33.411;;6.51;0;0;16.749;;6.44;0;0;16.700;;6.54;0;0;16.644;;6.46;0;0;16.750;;0.00;0;0;33.334;;6.40;0;0;33.411;;6.03;0;0;16.575;;6.34;0;0;33.338;;6.08;0;0;33.459;;6.42;0;0;33.326;;6.38;0;0;16.742;;6.51;0;0;33.282;;6.35;0;0;16.576;;0.00;0;0;16.698;;6.40;0;0;33.238;;0.00;0;0;16.548;;6.06;0;0;16.722;;6.49;0;0;33.378;;6.58;0;0;16.747;;6.16;0;0;16.647;;6.18;0;0;33.171;;6.26;0;0;33.207;;6.20;0;0;;;;;;;;;;;;;;;
99.998;;6.19;0;0;50.000;;6.19;0;0;66.744;;6.37;0;0;16.575;;6.49;0;0;50.000;;6.51;0;0;33.381;;6.43;0;0;33.325;;6.54;0;0;33.350;;6.46;0;0;33.376;;0.00;0;0;49.974;;6.38;0;0;50.000;;6.04;0;0;33.200;;6.34;0;0;50.003;;6.11;0;0;50.016;;6.44;0;0;50.003;;6.40;0;0;33.253;;6.52;0;0;49.905;;6.35;0;0;33.324;;0.00;0;0;33.325;;6.39;0;0;50.059;;6.07;0;0;16.548;;6.06;0;0;33.257;;6.49;0;0;50.053;;6.59;0;0;33.371;;6.20;0;0;33.354;;6.18;0;0;49.954;;6.28;0;0;49.954;;6.19;0;0;;;;;;;;;;;;;;;
116.622;;6.16;0;0;66.751;;6.20;0;0;83.370;;6.37;0;0;33.324;;6.53;0;0;66.750;;6.54;0;0;50.052;;6.46;0;0;49.952;;6.52;0;0;49.975;;6.47;0;0;50.042;;0.00;0;0;66.622;;6.36;0;0;66.749;;6.08;0;0;49.985;;6.32;0;0;66.623;;6.06;0;0;66.749;;6.46;0;0;66.610;;6.40;0;0;50.000;;6.51;0;0;66.703;;6.29;0;0;50.063;;0.00;0;0;49.961;;6.39;0;0;66.613;;0.00;0;0;33.298;;6.07;0;0;50.000;;6.48;0;0;66.624;;6.56;0;0;50.081;;6.22;0;0;49.979;;6.17;0;0;66.585;;6.29;0;0;66.633;;6.20;0;0;;;;;;;;;;;;;;;
133.468;;6.16;0;0;83.384;;6.19;0;0;100.002;;6.37;0;0;49.976;;6.56;0;0;83.477;;6.52;0;0;66.748;;6.45;0;0;66.751;;6.51;0;0;66.706;;6.48;0;0;66.751;;0.00;0;0;83.334;;6.36;0;0;83.394;;6.12;0;0;66.612;;6.33;0;0;83.250;;0.00;0;0;83.373;;6.47;0;0;83.325;;6.41;0;0;66.631;;6.51;0;0;83.291;;6.30;0;0;66.581;;0.00;0;0;66.743;;6.42;0;0;83.240;;0.00;0;0;49.932;;6.09;0;0;66.625;;6.48;0;0;83.373;;6.55;0;0;66.749;;6.22;0;0;66.689;;6.17;0;0;83.169;;6.30;0;0;83.208;;6.20;0;0;;;;;;;;;;;;;;;
150.009;;6.16;0;0;100.049;;6.19;0;0;116.788;;6.35;0;0;66.615;;6.53;0;0;100.000;;6.51;0;0;83.374;;6.46;0;0;83.325;;6.50;0;0;83.354;;6.48;0;0;83.376;;5.46;0;0;99.957;;6.35;0;0;100.038;;6.15;0;0;83.198;;6.34;0;0;100.033;;0.00;0;0;100.052;;6.48;0;0;99.948;;6.42;0;0;83.306;;6.48;0;0;99.908;;6.29;0;0;99.948;;0.00;0;0;83.323;;6.42;0;0;99.996;;0.00;0;0;66.592;;6.13;0;0;83.290;;6.48;0;0;100.008;;6.58;0;0;83.375;;6.23;0;0;83.371;;6.16;0;0;99.919;;6.29;0;0;99.954;;6.20;0;0;;;;;;;;;;;;;;;
