time 1,marker 1,diam 1,xgaze 1,ygaze 1,time 2,marker 2,diam 2,xgaze 2,ygaze 2,time 3,marker 3,diam 3,xgaze 3,ygaze 3,time 4,marker 4,diam 4,xgaze 4,ygaze 4,time 5,marker 5,diam 5,xgaze 5,ygaze 5,time 6,marker 6,diam 6,xgaze 6,ygaze 6,time 7,marker 7,diam 7,xgaze 7,ygaze 7,time 8,marker 8,diam 8,xgaze 8,ygaze 8,time 9,marker 9,diam 9,xgaze 9,ygaze 9,time 10,marker 10,diam 10,xgaze 10,ygaze 10,time 11,marker 11,diam 11,xgaze 11,ygaze 11,time 12,marker 12,diam 12,xgaze 12,ygaze 12,time 13,marker 13,diam 13,xgaze 13,ygaze 13,time 14,marker 14,diam 14,xgaze 14,ygaze 14,time 15,marker 15,diam 15,xgaze 15,ygaze 15,time 16,marker 16,diam 16,xgaze 16,ygaze 16,time 17,marker 17,diam 17,xgaze 17,ygaze 17,time 18,marker 18,diam 18,xgaze 18,ygaze 18,time 19,marker 19,diam 19,xgaze 19,ygaze 19,time 20,marker 20,diam 20,xgaze 20,ygaze 20,time 21,marker 21,diam 21,xgaze 21,ygaze 21,time 22,marker 22,diam 22,xgaze 22,ygaze 22,time 23,marker 23,diam 23,xgaze 23,ygaze 23,time 24,marker 24,diam 24,xgaze 24,ygaze 24,time 25,marker 25,diam 25,xgaze 25,ygaze 25,time 26,marker 26,diam 26,xgaze 26,ygaze 26,time 27,marker 27,diam 27,xgaze 27,ygaze 27,time 28,marker 28,diam 28,xgaze 28,ygaze 28,,,,,,,,,,
0.000,1,6.61,0,0,0.000,1,6.82,0,0,0.000,1,0.00,0,0,0.000,1,6.74,0,0,0.000,1,6.75,0,0,0.000,1,6.86,0,0,0.000,1,6.91,0,0,0.000,1,6.56,0,0,0.000,1,6.71,0,0,0.000,1,6.68,0,0,0.000,1,7.06,0,0,0.000,1,6.98,0,0,0.000,1,6.90,0,0,0.000,1,6.99,0,0,0.000,1,6.80,0,0,0.000,1,6.84,0,0,0.000,1,7.02,0,0,0.000,1,7.14,0,0,0.000,1,6.70,0,0,0.000,1,6.73,0,0,0.000,1,7.08,0,0,0.000,1,6.84,0,0,0.000,1,7.16,0,0,0.000,1,7.01,0,0,0.000,1,6.93,0,0,0.000,1,7.21,0,0,0.000,1,7.00,0,0,0.000,1,7.22,0,0,,,,,,,,,,
16.713,,6.64,0,0,16.634,,6.83,0,0,0.000,,0.00,0,0,0.000,,6.74,0,0,0.000,,6.75,0,0,0.000,,6.86,0,0,0.000,,6.91,0,0,0.000,,6.56,0,0,0.000,,6.71,0,0,0.000,,6.68,0,0,0.000,,7.06,0,0,0.000,,6.98,0,0,0.000,,6.90,0,0,0.000,,6.99,0,0,0.000,,6.80,0,0,0.000,,6.84,0,0,16.664,,6.97,0,0,0.000,,7.14,0,0,0.000,,6.70,0,0,0.000,,6.73,0,0,0.000,,7.08,0,0,0.000,,6.84,0,0,0.000,,7.16,0,0,0.000,,7.01,0,0,0.000,,6.93,0,0,0.000,,7.21,0,0,0.000,,7.00,0,0,16.623,,7.21,0,0,,,,,,,,,,
33.337,,6.66,0,0,16.634,,6.83,0,0,0.000,,0.00,0,0,0.000,,6.74,0,0,0.000,,6.75,0,0,0.000,,6.86,0,0,0.000,,6.91,0,0,0.000,,6.56,0,0,0.000,,6.71,0,0,0.000,,6.68,0,0,0.000,,7.06,0,0,16.635,,7.00,0,0,0.000,,6.90,0,0,0.000,,6.99,0,0,0.000,,6.80,0,0,0.000,,6.84,0,0,16.664,,6.97,0,0,0.000,,7.14,0,0,16.660,,6.69,0,0,0.000,,6.73,0,0,0.000,,7.08,0,0,16.707,,6.83,0,0,0.000,,7.16,0,0,0.000,,7.01,0,0,0.000,,6.93,0,0,0.000,,7.21,0,0,16.828,,6.98,0,0,16.623,,7.21,0,0,,,,,,,,,,
49.977,,6.66,0,0,16.634,,6.83,0,0,0.000,,0.00,0,0,0.000,,6.74,0,0,0.000,,6.75,0,0,0.000,,6.86,0,0,0.000,,6.91,0,0,0.000,,6.56,0,0,0.000,,6.71,0,0,0.000,,6.68,0,0,16.683,,7.09,0,0,16.635,,7.00,0,0,0.000,,6.90,0,0,16.539,,7.00,0,0,16.750,,6.82,0,0,16.623,,0.00,0,0,16.664,,6.97,0,0,0.000,,7.14,0,0,16.660,,6.69,0,0,0.000,,6.73,0,0,0.000,,7.08,0,0,16.707,,6.83,0,0,16.708,,7.17,0,0,0.000,,7.01,0,0,16.751,,6.92,0,0,0.000,,7.21,0,0,16.828,,6.98,0,0,16.623,,7.21,0,0,,,,,,,,,,
66.752,,6.65,0,0,33.390,,6.85,0,0,16.622,,6.48,0,0,16.539,,6.72,0,0,16.578,,0.00,0,0,0.000,,6.86,0,0,16.624,,6.91,0,0,0.000,,6.56,0,0,16.655,,6.72,0,0,16.724,,6.68,0,0,16.683,,7.09,0,0,16.635,,7.00,0,0,0.000,,6.90,0,0,16.539,,7.00,0,0,33.416,,6.83,0,0,33.330,,6.85,0,0,16.664,,6.97,0,0,16.585,,7.16,0,0,16.660,,6.69,0,0,0.000,,6.73,0,0,0.000,,7.08,0,0,16.707,,6.83,0,0,16.708,,7.17,0,0,0.000,,7.01,0,0,16.751,,6.92,0,0,16.624,,7.18,0,0,16.828,,6.98,0,0,16.623,,7.21,0,0,,,,,,,,,,
83.337,,6.65,0,0,50.045,,6.86,0,0,33.256,,0.00,0,0,33.154,,6.71,0,0,33.327,,0.00,0,0,16.750,,6.84,0,0,33.261,,6.91,0,0,16.573,,0.00,0,0,33.407,,6.73,0,0,16.724,,6.68,0,0,33.288,,7.08,0,0,33.294,,7.02,0,0,16.605,,6.90,0,0,33.156,,7.01,0,0,50.001,,6.81,0,0,50.009,,6.89,0,0,33.249,,6.99,0,0,33.306,,7.18,0,0,33.242,,6.69,0,0,16.661,,6.73,0,0,16.642,,7.09,0,0,33.331,,6.87,0,0,33.336,,7.16,0,0,16.713,,7.05,0,0,33.445,,6.93,0,0,33.251,,7.18,0,0,33.375,,7.00,0,0,33.274,,7.21,0,0,,,,,,,,,,
99.961,,6.66,0,0,66.626,,6.86,0,0,50.046,,0.00,0,0,49.907,,6.71,0,0,49.985,,0.00,0,0,33.431,,6.81,0,0,50.043,,6.90,0,0,33.325,,6.62,0,0,49.998,,6.73,0,0,33.380,,6.73,0,0,49.913,,7.10,0,0,49.999,,7.01,0,0,33.354,,6.90,0,0,49.906,,7.03,0,0,66.749,,6.79,0,0,66.623,,6.92,0,0,49.997,,6.95,0,0,49.929,,7.18,0,0,49.988,,6.68,0,0,33.367,,6.73,0,0,33.226,,7.11,0,0,50.062,,6.87,0,0,49.973,,7.14,0,0,33.334,,7.09,0,0,50.001,,6.92,0,0,50.047,,7.19,0,0,49.999,,6.98,0,0,50.040,,7.23,0,0,,,,,,,,,,
116.732,,6.69,0,0,83.375,,6.86,0,0,66.622,,6.46,0,0,66.609,,6.70,0,0,66.627,,0.00,0,0,50.000,,6.82,0,0,66.623,,6.91,0,0,49.962,,6.66,0,0,66.626,,6.74,0,0,49.999,,6.76,0,0,66.760,,7.10,0,0,66.622,,7.01,0,0,50.094,,6.87,0,0,66.575,,7.03,0,0,83.402,,6.78,0,0,83.247,,6.93,0,0,66.636,,6.96,0,0,66.654,,7.18,0,0,66.712,,6.69,0,0,49.989,,6.75,0,0,49.976,,7.06,0,0,66.705,,6.90,0,0,66.750,,7.13,0,0,49.973,,7.11,0,0,66.746,,6.95,0,0,66.622,,7.19,0,0,66.759,,6.99,0,0,66.625,,7.23,0,0,,,,,,,,,,
133.376,,6.68,0,0,100.026,,6.87,0,0,83.250,,6.46,0,0,83.160,,6.68,0,0,83.327,,0.00,0,0,66.747,,6.84,0,0,83.247,,6.91,0,0,66.617,,6.65,0,0,83.463,,6.78,0,0,66.629,,6.78,0,0,83.292,,7.11,0,0,83.267,,7.01,0,0,66.605,,6.85,0,0,83.157,,7.02,0,0,100.041,,6.77,0,0,100.042,,6.95,0,0,83.294,,6.93,0,0,83.308,,7.18,0,0,83.241,,6.72,0,0,66.710,,6.79,0,0,66.708,,7.05,0,0,83.330,,6.92,0,0,83.331,,7.12,0,0,66.753,,7.15,0,0,83.376,,6.98,0,0,83.253,,7.18,0,0,83.421,,7.00,0,0,83.247,,7.22,0,0,,,,,,,,,,
149.960,,6.70,0,0,116.661,,6.88,0,0,116.654,,6.55,0,0,99.905,,6.71,0,0,99.951,,0.00,0,0,83.386,,6.80,0,0,100.030,,6.93,0,0,83.322,,0.00,0,0,100.001,,6.82,0,0,83.411,,6.80,0,0,99.912,,7.08,0,0,100.036,,7.01,0,0,83.354,,6.84,0,0,99.915,,7.00,0,0,116.750,,6.76,0,0,116.626,,6.95,0,0,99.999,,6.93,0,0,99.929,,7.16,0,0,99.991,,6.76,0,0,83.368,,6.81,0,0,83.227,,7.05,0,0,99.955,,6.93,0,0,99.955,,7.11,0,0,83.334,,7.17,0,0,100.052,,6.98,0,0,100.017,,7.16,0,0,100.000,,7.01,0,0,100.087,,7.25,0,0,,,,,,,,,,
