time 1,marker 1,diam 1,xgaze 1,ygaze 1,time 2,marker 2,diam 2,xgaze 2,ygaze 2,time 3,marker 3,diam 3,xgaze 3,ygaze 3,time 4,marker 4,diam 4,xgaze 4,ygaze 4,time 5,marker 5,diam 5,xgaze 5,ygaze 5,time 6,marker 6,diam 6,xgaze 6,ygaze 6,time 7,marker 7,diam 7,xgaze 7,ygaze 7,time 8,marker 8,diam 8,xgaze 8,ygaze 8,time 9,marker 9,diam 9,xgaze 9,ygaze 9,time 10,marker 10,diam 10,xgaze 10,ygaze 10,time 11,marker 11,diam 11,xgaze 11,ygaze 11,time 12,marker 12,diam 12,xgaze 12,ygaze 12,time 13,marker 13,diam 13,xgaze 13,ygaze 13,time 14,marker 14,diam 14,xgaze 14,ygaze 14,time 15,marker 15,diam 15,xgaze 15,ygaze 15,time 16,marker 16,diam 16,xgaze 16,ygaze 16,time 17,marker 17,diam 17,xgaze 17,ygaze 17,time 18,marker 18,diam 18,xgaze 18,ygaze 18,time 19,marker 19,diam 19,xgaze 19,ygaze 19,time 20,marker 20,diam 20,xgaze 20,ygaze 20,time 21,marker 21,diam 21,xgaze 21,ygaze 21,time 22,marker 22,diam 22,xgaze 22,ygaze 22,time 23,marker 23,diam 23,xgaze 23,ygaze 23,time 24,marker 24,diam 24,xgaze 24,ygaze 24,time 25,marker 25,diam 25,xgaze 25,ygaze 25,time 26,marker 26,diam 26,xgaze 26,ygaze 26,time 27,marker 27,diam 27,xgaze 27,ygaze 27,,,,,,,,,,,,,,,
0.000,1,6.17,0,0,0.000,1,6.16,0,0,0.000,1,6.70,0,0,0.000,1,6.10,0,0,0.000,1,5.85,0,0,0.000,1,6.19,0,0,0.000,1,6.33,0,0,0.000,1,6.03,0,0,0.000,1,6.15,0,0,0.000,1,5.62,0,0,0.000,1,4.81,0,0,0.000,1,5.23,0,0,0.000,1,6.40,0,0,0.000,1,5.65,0,0,0.000,1,5.77,0,0,0.000,1,5.53,0,0,0.000,1,5.08,0,0,0.000,1,5.26,0,0,0.000,1,0.00,0,0,0.000,1,5.50,0,0,0.000,1,0.00,0,0,0.000,1,5.99,0,0,0.000,1,5.36,0,0,0.000,1,5.69,0,0,0.000,1,5.81,0,0,0.000,1,5.40,0,0,0.000,1,6.11,0,0,,,,,,,,,,,,,,,
16.677,,6.15,0,0,0.000,,6.16,0,0,0.000,,6.70,0,0,0.000,,6.10,0,0,0.000,,5.85,0,0,0.000,,6.19,0,0,16.652,,6.37,0,0,0.000,,6.03,0,0,0.000,,6.15,0,0,0.000,,5.62,0,0,16.623,,0.00,0,0,0.000,,5.23,0,0,0.000,,6.40,0,0,0.000,,5.65,0,0,0.000,,5.77,0,0,0.000,,5.53,0,0,0.000,,5.08,0,0,0.000,,5.26,0,0,0.000,,0.00,0,0,0.000,,5.50,0,0,0.000,,0.00,0,0,16.643,,5.98,0,0,0.000,,5.36,0,0,16.661,,5.71,0,0,0.000,,5.81,0,0,0.000,,5.40,0,0,0.000,,6.11,0,0,,,,,,,,,,,,,,,
33.376,,6.15,0,0,16.575,,6.16,0,0,16.766,,6.69,0,0,16.648,,5.99,0,0,0.000,,5.85,0,0,16.627,,6.20,0,0,16.652,,6.37,0,0,0.000,,6.03,0,0,0.000,,6.15,0,0,16.625,,5.54,0,0,16.623,,0.00,0,0,0.000,,5.23,0,0,0.000,,6.40,0,0,16.584,,5.70,0,0,0.000,,5.77,0,0,0.000,,5.53,0,0,0.000,,5.08,0,0,0.000,,5.26,0,0,0.000,,0.00,0,0,0.000,,5.50,0,0,16.792,,0.00,0,0,16.643,,5.98,0,0,0.000,,5.36,0,0,16.661,,5.71,0,0,0.000,,5.81,0,0,16.644,,5.44,0,0,0.000,,6.11,0,0,,,,,,,,,,,,,,,
50.000,,6.15,0,0,16.575,,6.16,0,0,16.766,,6.69,0,0,16.648,,5.99,0,0,16.662,,5.89,0,0,16.627,,6.20,0,0,16.652,,6.37,0,0,0.000,,6.03,0,0,0.000,,6.15,0,0,16.625,,5.54,0,0,33.286,,5.06,0,0,16.565,,5.51,0,0,16.770,,6.39,0,0,16.584,,5.70,0,0,16.762,,5.62,0,0,0.000,,5.53,0,0,0.000,,5.08,0,0,0.000,,5.26,0,0,16.589,,0.00,0,0,0.000,,5.50,0,0,16.792,,0.00,0,0,16.643,,5.98,0,0,16.622,,5.35,0,0,16.661,,5.71,0,0,0.000,,5.81,0,0,16.644,,5.44,0,0,0.000,,6.11,0,0,,,,,,,,,,,,,,,
66.644,,6.16,0,0,33.325,,6.16,0,0,33.351,,6.69,0,0,16.648,,5.99,0,0,16.662,,5.89,0,0,16.627,,6.20,0,0,16.652,,6.37,0,0,16.626,,6.04,0,0,0.000,,6.15,0,0,16.625,,5.54,0,0,33.286,,5.06,0,0,33.175,,5.49,0,0,16.770,,6.39,0,0,16.584,,5.70,0,0,33.422,,5.51,0,0,16.709,,5.52,0,0,16.668,,5.30,0,0,0.000,,5.26,0,0,16.589,,0.00,0,0,16.710,,0.00,0,0,16.792,,0.00,0,0,16.643,,5.98,0,0,16.622,,5.35,0,0,16.661,,5.71,0,0,0.000,,5.81,0,0,16.644,,5.44,0,0,0.000,,6.11,0,0,,,,,,,,,,,,,,,
83.424,,6.18,0,0,50.027,,6.16,0,0,49.975,,6.68,0,0,33.226,,0.00,0,0,33.254,,5.93,0,0,33.398,,6.20,0,0,33.406,,6.42,0,0,33.303,,6.02,0,0,16.590,,6.16,0,0,33.350,,5.71,0,0,33.286,,5.06,0,0,49.924,,5.77,0,0,33.413,,6.39,0,0,33.208,,5.75,0,0,50.001,,5.41,0,0,33.259,,5.54,0,0,33.377,,5.31,0,0,16.787,,5.24,0,0,16.589,,0.00,0,0,33.337,,0.00,0,0,33.372,,0.00,0,0,33.284,,5.97,0,0,33.371,,5.32,0,0,33.242,,5.72,0,0,16.737,,0.00,0,0,33.354,,5.44,0,0,16.705,,6.10,0,0,,,,,,,,,,,,,,,
99.998,,6.13,0,0,66.596,,6.14,0,0,66.822,,6.69,0,0,49.975,,0.00,0,0,50.000,,5.87,0,0,50.041,,6.18,0,0,49.995,,6.47,0,0,50.000,,6.02,0,0,33.337,,6.12,0,0,50.001,,5.67,0,0,50.032,,0.00,0,0,66.596,,5.77,0,0,49.996,,6.37,0,0,50.046,,5.73,0,0,66.758,,5.55,0,0,49.999,,5.47,0,0,50.001,,5.13,0,0,33.368,,5.21,0,0,33.340,,0.00,0,0,50.011,,0.00,0,0,49.996,,0.00,0,0,49.999,,5.97,0,0,50.034,,5.28,0,0,49.989,,5.75,0,0,33.365,,5.78,0,0,49.976,,5.47,0,0,33.328,,6.12,0,0,,,,,,,,,,,,,,,
116.621,,6.12,0,0,83.328,,6.17,0,0,83.358,,6.69,0,0,66.620,,0.00,0,0,66.646,,5.81,0,0,66.625,,6.22,0,0,66.620,,6.49,0,0,66.624,,6.01,0,0,49.971,,6.12,0,0,66.624,,5.65,0,0,66.626,,0.00,0,0,83.186,,5.77,0,0,66.746,,6.31,0,0,66.594,,5.70,0,0,83.389,,5.44,0,0,66.637,,5.42,0,0,66.653,,0.00,0,0,50.117,,5.25,0,0,50.058,,5.37,0,0,66.710,,0.00,0,0,66.803,,0.00,0,0,66.624,,5.91,0,0,66.621,,5.25,0,0,66.673,,5.73,0,0,50.032,,5.92,0,0,66.665,,5.42,0,0,49.957,,6.14,0,0,,,,,,,,,,,,,,,
133.399,,6.12,0,0,99.950,,6.15,0,0,99.975,,6.69,0,0,83.274,,0.00,0,0,83.288,,5.81,0,0,83.374,,6.20,0,0,83.477,,6.48,0,0,83.259,,6.03,0,0,66.630,,6.14,0,0,83.248,,5.65,0,0,83.247,,0.00,0,0,99.923,,5.97,0,0,83.463,,6.37,0,0,83.208,,5.71,0,0,100.039,,5.39,0,0,83.298,,5.46,0,0,83.425,,5.13,0,0,66.781,,5.32,0,0,66.593,,5.38,0,0,83.335,,0.00,0,0,83.398,,0.00,0,0,83.342,,5.94,0,0,83.372,,5.24,0,0,83.260,,5.75,0,0,66.736,,5.87,0,0,83.373,,5.42,0,0,66.762,,6.12,0,0,,,,,,,,,,,,,,,
150.038,,6.11,0,0,116.659,,6.15,0,0,116.725,,6.68,0,0,99.976,,5.88,0,0,100.000,,5.86,0,0,100.106,,6.25,0,0,99.996,,6.48,0,0,100.047,,6.03,0,0,83.337,,6.11,0,0,100.039,,5.75,0,0,100.090,,0.00,0,0,116.563,,5.90,0,0,100.003,,6.36,0,0,99.963,,5.69,0,0,116.752,,5.40,0,0,100.000,,5.50,0,0,99.999,,5.29,0,0,83.401,,5.28,0,0,83.340,,5.38,0,0,99.963,,0.00,0,0,99.995,,0.00,0,0,100.005,,5.90,0,0,100.015,,5.22,0,0,99.991,,5.77,0,0,83.361,,5.90,0,0,99.974,,5.45,0,0,83.330,,6.10,0,0,,,,,,,,,,,,,,,
