time 1;marker 1;diam 1;xgaze 1;ygaze 1;time 2;marker 2;diam 2;xgaze 2;ygaze 2;time 3;marker 3;diam 3;xgaze 3;ygaze 3;time 4;marker 4;diam 4;xgaze 4;ygaze 4;time 5;marker 5;diam 5;xgaze 5;ygaze 5;time 6;marker 6;diam 6;xgaze 6;ygaze 6;time 7;marker 7;diam 7;xgaze 7;ygaze 7;time 8;marker 8;diam 8;xgaze 8;ygaze 8;time 9;marker 9;diam 9;xgaze 9;ygaze 9;time 10;marker 10;diam 10;xgaze 10;ygaze 10;time 11;marker 11;diam 11;xgaze 11;ygaze 11;time 12;marker 12;diam 12;xgaze 12;ygaze 12;time 13;marker 13;diam 13;xgaze 13;ygaze 13;time 14;marker 14;diam 14;xgaze 14;ygaze 14;time 15;marker 15;diam 15;xgaze 15;ygaze 15;time 16;marker 16;diam 16;xgaze 16;ygaze 16;time 17;marker 17;diam 17;xgaze 17;ygaze 17;time 18;marker 18;diam 18;xgaze 18;ygaze 18;time 19;marker 19;diam 19;xgaze 19;ygaze 19;time 20;marker 20;diam 20;xgaze 20;ygaze 20;time 21;marker 21;diam 21;xgaze 21;ygaze 21;time 22;marker 22;diam 22;xgaze 22;ygaze 22;time 23;marker 23;diam 23;xgaze 23;ygaze 23;time 24;marker 24;diam 24;xgaze 24;ygaze 24;time 25;marker 25;diam 25;xgaze 25;ygaze 25;time 26;marker 26;diam 26;xgaze 26;ygaze 26;time 27;marker 27;diam 27;xgaze 27;ygaze 27;time 28;marker 28;diam 28;xgaze 28;ygaze 28;time 29;marker 29;diam 29;xgaze 29;ygaze 29;;;;;
0.000;1;7.31;0;0;0.000;1;6.63;0;0;0.000;1;7.63;0;0;0.000;1;7.21;0;0;0.000;1;7.55;0;0;0.000;1;7.43;0;0;0.000;1;6.94;0;0;0.000;1;0.00;0;0;0.000;1;6.91;0;0;0.000;1;7.47;0;0;0.000;1;7.15;0;0;0.000;1;6.73;0;0;0.000;1;6.81;0;0;0.000;1;6.70;0;0;0.000;1;6.93;0;0;0.000;1;6.26;0;0;0.000;1;7.15;0;0;0.000;1;7.11;0;0;0.000;1;6.57;0;0;0.000;1;6.77;0;0;0.000;1;6.84;0;0;0.000;1;6.64;0;0;0.000;1;6.81;0;0;0.000;1;6.86;0;0;0.000;1;6.91;0;0;0.000;1;6.63;0;0;0.000;1;7.33;0;0;0.000;1;7.29;0;0;0.000;1;6.54;0;0;;;;;
16.752;;7.30;0;0;16.644;;6.70;0;0;0.000;;7.63;0;0;0.000;;7.21;0;0;16.625;;7.55;0;0;0.000;;7.43;0;0;16.621;;6.85;0;0;0.000;;0.00;0;0;0.000;;6.91;0;0;0.000;;7.47;0;0;16.720;;7.20;0;0;0.000;;6.73;0;0;0.000;;6.81;0;0;0.000;;6.70;0;0;0.000;;6.93;0;0;0.000;;6.26;0;0;0.000;;7.15;0;0;0.000;;7.11;0;0;16.627;;6.66;0;0;0.000;;6.77;0;0;0.000;;6.84;0;0;0.000;;6.64;0;0;0.000;;6.81;0;0;0.000;;6.86;0;0;0.000;;6.91;0;0;0.000;;6.63;0;0;0.000;;7.33;0;0;0.000;;7.29;0;0;0.000;;6.54;0;0;;;;;
33.379;;7.33;0;0;16.644;;6.70;0;0;16.674;;7.56;0;0;0.000;;7.21;0;0;16.625;;7.55;0;0;0.000;;7.43;0;0;16.621;;6.85;0;0;0.000;;0.00;0;0;0.000;;6.91;0;0;0.000;;7.47;0;0;16.720;;7.20;0;0;0.000;;6.73;0;0;0.000;;6.81;0;0;0.000;;6.70;0;0;0.000;;6.93;0;0;0.000;;6.26;0;0;0.000;;7.15;0;0;0.000;;7.11;0;0;16.627;;6.66;0;0;16.749;;6.77;0;0;0.000;;6.84;0;0;0.000;;6.64;0;0;0.000;;6.81;0;0;0.000;;6.86;0;0;0.000;;6.91;0;0;0.000;;6.63;0;0;16.645;;7.33;0;0;0.000;;7.29;0;0;0.000;;6.54;0;0;;;;;
50.001;;7.34;0;0;33.418;;6.83;0;0;16.674;;7.56;0;0;0.000;;7.21;0;0;16.625;;7.55;0;0;0.000;;7.43;0;0;16.621;;6.85;0;0;0.000;;0.00;0;0;0.000;;6.91;0;0;0.000;;7.47;0;0;16.720;;7.20;0;0;0.000;;6.73;0;0;0.000;;6.81;0;0;0.000;;6.70;0;0;0.000;;6.93;0;0;0.000;;6.26;0;0;16.648;;7.18;0;0;0.000;;7.11;0;0;16.627;;6.66;0;0;16.749;;6.77;0;0;16.626;;6.82;0;0;0.000;;6.64;0;0;16.518;;6.96;0;0;0.000;;6.86;0;0;0.000;;6.91;0;0;0.000;;6.63;0;0;16.645;;7.33;0;0;0.000;;7.29;0;0;0.000;;6.54;0;0;;;;;
66.627;;7.31;0;0;49.997;;6.96;0;0;16.674;;7.56;0;0;0.000;;7.21;0;0;16.625;;7.55;0;0;16.625;;7.48;0;0;16.621;;6.85;0;0;0.000;;0.00;0;0;16.628;;6.94;0;0;16.837;;7.45;0;0;16.720;;7.20;0;0;0.000;;6.73;0;0;0.000;;6.81;0;0;0.000;;6.70;0;0;16.625;;6.92;0;0;16.626;;6.50;0;0;16.648;;7.18;0;0;0.000;;7.11;0;0;16.627;;6.66;0;0;16.749;;6.77;0;0;16.626;;6.82;0;0;0.000;;6.64;0;0;16.518;;6.96;0;0;16.750;;6.84;0;0;0.000;;6.91;0;0;33.426;;6.51;0;0;16.645;;7.33;0;0;16.769;;7.37;0;0;16.712;;6.52;0;0;;;;;
83.417;;7.28;0;0;66.620;;7.06;0;0;33.376;;7.57;0;0;16.703;;7.20;0;0;16.625;;7.55;0;0;33.378;;7.50;0;0;33.305;;6.85;0;0;16.758;;6.57;0;0;33.415;;7.08;0;0;33.395;;7.44;0;0;33.383;;7.16;0;0;16.775;;6.73;0;0;16.627;;6.82;0;0;16.748;;0.00;0;0;33.290;;6.77;0;0;33.427;;6.45;0;0;33.288;;7.24;0;0;16.645;;7.10;0;0;33.302;;6.57;0;0;33.380;;6.74;0;0;16.626;;6.82;0;0;16.646;;6.62;0;0;33.269;;7.02;0;0;16.750;;6.84;0;0;16.595;;6.92;0;0;50.002;;6.66;0;0;33.296;;7.37;0;0;33.353;;7.40;0;0;16.712;;6.52;0;0;;;;;
100.000;;7.30;0;0;83.413;;7.15;0;0;50.001;;7.58;0;0;33.328;;7.22;0;0;33.399;;7.52;0;0;50.048;;7.43;0;0;50.015;;6.88;0;0;33.420;;6.41;0;0;50.001;;7.13;0;0;50.000;;7.47;0;0;50.006;;7.18;0;0;33.355;;6.77;0;0;33.251;;6.86;0;0;33.418;;0.00;0;0;50.004;;6.77;0;0;50.001;;6.48;0;0;49.999;;7.23;0;0;33.425;;7.08;0;0;50.011;;6.64;0;0;50.032;;6.75;0;0;33.397;;6.83;0;0;33.294;;6.56;0;0;49.895;;7.00;0;0;33.430;;6.78;0;0;33.346;;6.94;0;0;66.625;;0.00;0;0;50.000;;7.39;0;0;49.978;;7.38;0;0;33.337;;6.56;0;0;;;;;
116.624;;7.29;0;0;100.033;;7.22;0;0;66.629;;7.57;0;0;49.973;;7.21;0;0;50.036;;7.59;0;0;66.627;;7.42;0;0;66.624;;6.87;0;0;49.999;;0.00;0;0;66.623;;7.13;0;0;66.749;;7.50;0;0;66.623;;7.21;0;0;49.980;;6.78;0;0;50.047;;6.88;0;0;49.996;;0.00;0;0;66.626;;6.82;0;0;66.625;;6.47;0;0;66.624;;7.21;0;0;50.000;;7.07;0;0;66.622;;6.70;0;0;66.746;;6.72;0;0;50.047;;6.84;0;0;50.011;;6.53;0;0;66.558;;6.86;0;0;50.024;;6.81;0;0;50.021;;6.98;0;0;83.383;;0.00;0;0;66.625;;7.48;0;0;66.768;;7.35;0;0;50.049;;6.62;0;0;;;;;
133.378;;7.28;0;0;116.619;;7.30;0;0;83.440;;7.61;0;0;66.736;;7.22;0;0;66.624;;7.59;0;0;83.374;;7.42;0;0;83.247;;6.86;0;0;66.749;;0.00;0;0;83.379;;7.13;0;0;83.431;;7.51;0;0;83.418;;7.21;0;0;66.803;;6.81;0;0;66.624;;6.93;0;0;66.745;;0.00;0;0;83.273;;6.84;0;0;100.044;;6.86;0;0;83.319;;7.14;0;0;66.624;;7.10;0;0;83.249;;6.81;0;0;83.370;;6.72;0;0;66.625;;6.85;0;0;66.626;;6.53;0;0;83.264;;6.79;0;0;66.750;;6.81;0;0;66.596;;6.95;0;0;100.047;;6.99;0;0;83.284;;7.43;0;0;83.385;;7.32;0;0;66.719;;6.67;0;0;;;;;
150.051;;7.29;0;0;133.368;;7.40;0;0;99.999;;7.60;0;0;83.328;;7.22;0;0;83.373;;7.60;0;0;100.047;;7.39;0;0;100.110;;6.84;0;0;83.414;;0.00;0;0;100.049;;7.13;0;0;100.001;;7.52;0;0;99.999;;7.21;0;0;83.375;;6.85;0;0;83.251;;6.91;0;0;83.384;;0.00;0;0;100.039;;6.82;0;0;116.625;;7.06;0;0;100.009;;7.16;0;0;83.418;;7.14;0;0;100.053;;6.91;0;0;100.019;;6.71;0;0;83.376;;6.86;0;0;83.301;;6.52;0;0;99.890;;6.70;0;0;83.374;;6.80;0;0;83.354;;6.96;0;0;116.621;;7.07;0;0;100.037;;7.39;0;0;99.979;;7.33;0;0;83.338;;6.66;0;0;;;;;
