#Exp.ExpName  = calrose
#Exp.Ntest    =       72
#Exp.Npresent =        1
#Exp.Ntarget  =        2

#Sig.Board    = Das16
#Sig.SigType  = Eh-S1-Ev-S2
#Sig.Fsample  =      500
#Sig.Nsample  =     1000
#Sig.Nbuffer  =        1
#Sig.Nchannel =        4
#Sig.ExtTrig  =        0

Nr Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att 
#1    0   0.0 300.0 -800.0  400.0  7    2    1   5.0 330.0  402.0 1300.0  7    2   
#2    0   0.0 300.0 -800.0  400.0  7    2    1   5.0   0.0  402.0 1300.0  7    2   
#3    0   0.0 300.0 -800.0  400.0  7    2    1   9.0  60.0  402.0 1300.0  7    2   
#4    0   0.0 300.0 -800.0  400.0  7    2    1  14.0  60.0  400.0 1300.0  7    2   
#5    0   0.0 300.0 -800.0  400.0  7    2    1  27.0  30.0  400.0 1300.0  7    2   
#6    0   0.0 300.0 -800.0  400.0  7    2    1  20.0 180.0  402.0 1300.0  7    2   
#7    0   0.0 300.0 -800.0  400.0  7    2    1   5.0 300.0  400.0 1300.0  7    2   
#8    0   0.0 300.0 -800.0  400.0  7    2    1  20.0 210.0  402.0 1300.0  7    2   
#9    0   0.0 300.0 -800.0  400.0  7    2    1  20.0 330.0  400.0 1300.0  7    2   
#10   0   0.0 300.0 -800.0  400.0  7    2    1  27.0 240.0  402.0 1300.0  7    2   
#11   0   0.0 300.0 -800.0  400.0  7    2    1  27.0 210.0  400.0 1300.0  7    2   
#12   0   0.0 300.0 -800.0  400.0  7    2    1   2.0  30.0  402.0 1300.0  7    2   
#13   0   0.0 300.0 -800.0  400.0  7    2    1  14.0 330.0  400.0 1300.0  7    2   
#14   0   0.0 300.0 -800.0  400.0  7    2    1  20.0 270.0  402.0 1300.0  7    2   
#15   0   0.0 300.0 -800.0  400.0  7    2    1   9.0 210.0  400.0 1300.0  7    2   
#16   0   0.0 300.0 -800.0  400.0  7    2    1   2.0 240.0  402.0 1300.0  7    2   
#17   0   0.0 300.0 -800.0  400.0  7    2    1  14.0  30.0  402.0 1300.0  7    2   
#18   0   0.0 300.0 -800.0  400.0  7    2    1  14.0 240.0  402.0 1300.0  7    2   
#19   0   0.0 300.0 -800.0  400.0  7    2    1  14.0 150.0  400.0 1300.0  7    2   
#20   0   0.0 300.0 -800.0  400.0  7    2    1   9.0   0.0  402.0 1300.0  7    2   
#21   0   0.0 300.0 -800.0  400.0  7    2    1   2.0 210.0  400.0 1300.0  7    2   
#22   0   0.0 300.0 -800.0  400.0  7    2    1   2.0  60.0  402.0 1300.0  7    2   
#23   0   0.0 300.0 -800.0  400.0  7    2    1   9.0 270.0  402.0 1300.0  7    2   
