#Exp.ExpName  = Moving ripples:-40:8:40 Hz, 0:0.4:2 cycles/octave 
#Exp.Ntest    =       61
#Exp.Npresent =        1
#Exp.Ntarget  =        3

#Sig.Board    = Das16
#Sig.SigType  = Eh-S1-Ev-S2
#Sig.Fsample  =      500
#Sig.Nsample  =     1750
#Sig.Nbuffer  =        1
#Sig.Nchannel =        4
#Sig.ExtTrig  =        0

Nr Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att 
#1    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 10008    1   0.0 300.0  402.0 2900.0  7    1   
#2    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 21604    1   0.0 300.0  402.0 2900.0  7    1   
#3    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 14016    1   0.0 300.0  400.0 2900.0  7    1   
#4    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23204    1   0.0 300.0  400.0 2900.0  7    1   
#5    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 22420    1   0.0 300.0  400.0 2900.0  7    1   
#6    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23212    1   0.0 300.0  400.0 2900.0  7    1   
#7    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11608    1   0.0 300.0  400.0 2900.0  7    1   
#8    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13200    1   0.0 300.0  400.0 2900.0  7    1   
#9    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10812    1   0.0 300.0  400.0 2900.0  7    1   
#10   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 12404    1   0.0 300.0  402.0 2900.0  7    1   
#11   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 22408    1   0.0 300.0  400.0 2900.0  7    1   
#12   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23208    1   0.0 300.0  400.0 2900.0  7    1   
#13   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10816    1   0.0 300.0  400.0 2900.0  7    1   
#14   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 24004    1   0.0 300.0  402.0 2900.0  7    1   
#15   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 20808    1   0.0 300.0  400.0 2900.0  7    1   
#16   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 10012    1   0.0 300.0  402.0 2900.0  7    1   
#17   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 14000    1   0.0 300.0  400.0 2900.0  7    1   
#18   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12416    1   0.0 300.0  400.0 2900.0  7    1   
#19   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11600    1   0.0 300.0  400.0 2900.0  7    1   
#20   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 24016    1   0.0 300.0  402.0 2900.0  7    1   
#21   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 24008    1   0.0 300.0  402.0 2900.0  7    1   
#22   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 24012    1   0.0 300.0  400.0 2900.0  7    1   
#23   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 11620    1   0.0 300.0  402.0 2900.0  7    1   
#24   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 23216    1   0.0 300.0  402.0 2900.0  7    1   
#25   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10000    1   0.0 300.0  400.0 2900.0  7    1   
#26   0   0.0 300.0 -100.0  406.0  7    1    2   0.0   0.0  400.0 2900.0  7 13212    1   0.0 300.0  400.0 2900.0  7    1   
#27   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10016    1   0.0 300.0  400.0 2900.0  7    1   
#28   0   0.0 300.0 -100.0  406.0  7    1    2   0.0   0.0  400.0 2900.0  7 10820    1   0.0 300.0  400.0 2900.0  7    1   
#29   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 13208    1   0.0 300.0  402.0 2900.0  7    1   
#30   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 24020    1   0.0 300.0  400.0 2900.0  7    1   
#31   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 14004    1   0.0 300.0  402.0 2900.0  7    1   
#32   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10800    1   0.0 300.0  400.0 2900.0  7    1   
#33   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 22412    1   0.0 300.0  400.0 2900.0  7    1   
#34   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11616    1   0.0 300.0  400.0 2900.0  7    1   
#35   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10808    1   0.0 300.0  402.0 2900.0  7    1   
#36   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 22416    1   0.0 300.0  402.0 2900.0  7    1   
#37   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 20804    1   0.0 300.0  400.0 2900.0  7    1   
#38   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 20812    1   0.0 300.0  400.0 2900.0  7    1   
#39   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 23220    1   0.0 300.0  402.0 2900.0  7    1   
#40   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 21608    1   0.0 300.0  400.0 2900.0  7    1   
#41   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 10004    1   0.0 300.0  400.0 2900.0  7    1   
#42   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13216    1   0.0 300.0  400.0 2900.0  7    1   
#43   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 21620    1   0.0 300.0  402.0 2900.0  7    1   
#44   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 12412    1   0.0 300.0  400.0 2900.0  7    1   
