#Exp.ExpName  = Moving ripples: 0.4 cyc/oct - (0-80 Hz); 32 Hz - (0-2 cyc/oct)
#Exp.Ntest    =       40
#Exp.Npresent =        1
#Exp.Ntarget  =        3

#Sig.Board    = Das16
#Sig.SigType  = Eh-S1-Ev-S2
#Sig.Fsample  =      500
#Sig.Nsample  =     1750
#Sig.Nbuffer  =        1
#Sig.Nchannel =        4
#Sig.ExtTrig  =        0

Nr Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att Mode    R   Phi    On     Off  Int Att 
#1    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 12404    1   0.0 300.0  402.0 2900.0  7    1   
#2    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 24804    1   0.0 300.0  400.0 2900.0  7    1   
#3    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23212    1   0.0 300.0  400.0 2900.0  7    1   
#4    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  406.0 2900.0  7 25604    1   0.0 300.0  400.0 2900.0  7    1   
#5    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13204    1   0.0 300.0  400.0 2900.0  7    1   
#6    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 23202    1   0.0 300.0  402.0 2900.0  7    1   
#7    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 24004    1   0.0 300.0  402.0 2900.0  7    1   
#8    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 11604    1   0.0 300.0  400.0 2900.0  7    1   
#9    0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23206    1   0.0 300.0  400.0 2900.0  7    1   
#10   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23218    1   0.0 300.0  400.0 2900.0  7    1   
#11   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 20804    1   0.0 300.0  400.0 2900.0  7    1   
#12   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13206    1   0.0 300.0  400.0 2900.0  7    1   
#13   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13220    1   0.0 300.0  400.0 2900.0  7    1   
#14   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 16404    1   0.0 300.0  400.0 2900.0  7    1   
#15   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  402.0 2900.0  7 13208    1   0.0 300.0  402.0 2900.0  7    1   
#16   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 23216    1   0.0 300.0  400.0 2900.0  7    1   
#17   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13218    1   0.0 300.0  400.0 2900.0  7    1   
#18   0   0.0 300.0 -100.0  400.0  7    1    2   0.0   0.0  400.0 2900.0  7 13202    1   0.0 300.0  400.0 2900.0  7    1   
